Text_ID,Sent_ID,Sent,POS_Tags,Target
2,61,"By and by, the happy water drop tired of his play, and looking up to the clear sky above him, thought he would like to have a sail on one of the white, marshmallow-like clouds, instead of spending his whole life in the ocean.","IN CC IN , DT JJ NN VBN IN PRP$ NN , CC VBG IN TO DT JJ NN IN PRP , VBD PRP MD VB TO VB DT NN IN CD IN DT JJ , JJ : JJ NNS , RB IN VBG PRP$ JJ NN IN DT NN .",JJJ
3,107,"On her long, fair hair, which hung in curls on her shoulders, the snowflakes kept landing, but she did not notice them as she shivered along.","IN PRP$ JJ , JJ NN , WDT VBD IN NNS IN PRP$ NNS , DT NNS VBD VBG , CC PRP VBD RB VB PRP IN PRP VBD RB .",JJJ
3,120,"It gave a warm, candle-like bright light that the girl hid from the world as she held her hand over it.","PRP VBD DT JJ , JJ : JJ NN IN DT NN VBD IN DT NN IN PRP VBD PRP$ NN IN PRP .",JJJ
3,126,"It was a short, stubby match that the little girl next rubbed on the wall.","PRP VBD DT JJ , JJ NN IN DT JJ NN JJ VBD IN DT NN .",JJJ
3,127,"It burst into a flame, and lo and behold, the girl was transported from her dank city to a beautiful, sunny forest.","PRP VBD IN DT NN , CC VB CC VB , DT NN VBD VBN IN PRP$ JJ NN TO DT JJ , JJ NN .",JJJ
3,133,"It was only the thick, damp, cold wall.","PRP VBD RB DT JJ , JJ , JJ NN .",JJJ
4,171,"cried a shrill, shrill voice, and out of the blue the little bird without a name rose from the eagle's back, where he had lain hidden in the feathers.","VBD DT JJ , JJ NN , CC IN DT NN DT JJ NN IN DT NN VBD IN DT NN POS PRP$ NN , WRB PRP VBD VBN IN DT NNS .",JJJ
5,222,"We finally arrived at the unassuming, unembellished barbershop, where they cut our hair for free because we were orphans.","PRP RB VBD IN DT JJ , JJ NN , WRB PRP VBD PRP$ NN IN JJ IN PRP VBD NNS .",JJJ
5,244,"The barber upset by the matron said to her, 'You are just a damn bitch, lady.'","DT NN VBN IN DT NN VBD TO PRP , '' PRP VBP RB DT RB NN , NN . ''",NNN
6,266,"'Small things, not big things, are cute, right?'","'' JJ NNS , RB JJ NNS , VBP JJ , JJ . ''",JJJ
6,270,"Back at home, Mom, convinced by Abby to clean out the tank, was cleaning with a special vacuum, or 'hoover'.","RB IN NN , NN , VBN IN NNP TO VB RP DT NN , VBD VBG IN DT JJ NN , CC '' NN '' .",NNN
7,347,"Lucy hurried behind Jill, pulling on the worn, oversized coat that had originally belonged to Jill, in order to keep her dry as the raindrops fell all around them.","NNP VBD IN NNP , VBG IN DT JJ , JJ NN WDT VBD RB VBN TO NNP , IN NN TO VB PRP JJ IN DT NNS VBD DT IN PRP .",JJJ
9,415,"They were classified in groups: one-colored tulips of red, yellow, or white were known as Couleren, but it was the multicolored Rosen (red or pink on white background), Violetten (purple or lilac on white background), and, to a lesser extent, the Bizarden (red, brown or purple on yellow background) that were the most popular.","PRP VBD VBN IN NNS : JJ : JJ NNS IN JJ , JJ , CC JJ VBD VBN IN NNP , CC PRP VBD DT JJ NNP LRB- JJ CC JJ IN JJ NN RRB- , NNP LRB- NN CC NN IN JJ NN RRB- , CC , TO DT JJR NN , DT NNP LRB- JJ , JJ CC JJ IN JJ NN RRB- WDT VBD DT RBS JJ .",JJJ
10,455,"Tourette's syndrome, a neurological disorder characterized by repetitive, involuntary movements, was named for Dr. Georges Gilles de la Tourette, the pioneering French neurologist who first described the condition in an eighty-six-year-old French noblewoman.","NNP POS PRP$ NN , DT JJ NN VBN IN JJ , JJ NNS , VBD VBN IN NNP . NNP , DT JJ NN WP RB VBD DT NN IN DT JJ : JJ : JJ NN .",JJJ
10,466,"Simple motor tics are sudden, brief, repetitive movements that involve a limited number of muscle groups.","JJ NN NNS VBP JJ , JJ , JJ NNS WDT VBP DT VBN NN IN NN NNS .",JJJ
10,467,"Some of the more common simple tics include eye blinking, facial grimacing, shoulder shrugging, and head or shoulder jerking.","DT IN DT RBR JJ NNS VBP NN , JJ NN , NN , CC NN CC NN .",NNN
10,468,"Simple vocalizations, which motor tics typically precede, might include repetitive throat-clearing, sniffing, or grunting sounds.","JJ NNS , WDT NN NNS RB VBP , MD VB JJ NN , NN , CC VBG NNS .",NNN
10,469,"Complex tics are distinct, coordinated patterns of movement that involve several muscle groups.","JJ NNS VBP JJ , JJ NNS IN NN WDT VBP JJ NN NNS .",JJJ
10,474,"Tics are often worse with excitement or anxiety and better during calm, focused activities.","NNS VBP RB JJR IN NN CC NN CC JJR IN JJ , JJ NNS .",JJJ
10,477,"Tics come and go over time, varying in type, frequency, location, and severity.","NNS VBP CC VBP IN NN , VBG IN NN , NN , NN , CC NN .",NNN
10,482,"Many people with Tourette's experience additional neurobehavioral problems that include inattention, hyperactivity and impulsivity.","JJ NNS IN NNP POS VBP JJ NNS WDT VBP NN , NN CC NN .",NNN
10,490,"In terms of the role of genes in the disorder, evidence from twin and family studies suggests that Tourette's is an inherited disorder.","IN NNS IN DT NN IN NNS IN DT NN , NN IN NN CC NN NNS VBZ IN NNP POS VBZ DT VBN NN .",NNN
